Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:24,06:40,11:59,14:10,16:37,18:01
2,05:26,06:41,11:59,14:08,16:35,18:00
3,05:27,06:43,11:59,14:07,16:34,17:58
4,05:28,06:44,11:59,14:06,16:32,17:57
5,05:30,06:46,11:59,14:05,16:31,17:56
6,05:31,06:47,11:59,14:04,16:29,17:55
7,05:33,06:49,11:59,14:03,16:28,17:53
8,05:34,06:51,11:59,14:01,16:26,17:52
9,05:35,06:52,12:00,14:00,16:25,17:51
10,05:37,06:54,12:00,13:59,16:24,17:50
11,05:38,06:55,12:00,13:58,16:23,17:49
12,05:39,06:57,12:00,13:57,16:21,17:48
13,05:41,06:58,12:00,13:57,16:20,17:47
14,05:42,07:00,12:00,13:56,16:19,17:46
15,05:43,07:01,12:01,13:55,16:18,17:45
16,05:44,07:03,12:01,13:54,16:17,17:44
17,05:46,07:05,12:01,13:53,16:16,17:44
18,05:47,07:06,12:01,13:52,16:15,17:43
19,05:48,07:08,12:02,13:52,16:14,17:42
20,05:49,07:09,12:02,13:51,16:13,17:41
21,05:51,07:10,12:02,13:50,16:12,17:41
22,05:52,07:12,12:02,13:50,16:11,17:40
23,05:53,07:13,12:03,13:49,16:10,17:40
24,05:54,07:15,12:03,13:48,16:09,17:39
25,05:56,07:16,12:03,13:48,16:09,17:38
26,05:57,07:18,12:04,13:47,16:08,17:38
27,05:58,07:19,12:04,13:47,16:07,17:38
28,05:59,07:20,12:04,13:47,16:07,17:37
29,06:00,07:22,12:05,13:46,16:06,17:37
30,06:01,07:23,12:05,13:46,16:06,17:36
