Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:01,04:57,13:20,17:15,21:01,23:00
2,03:02,04:57,13:20,17:15,21:01,22:59
3,03:03,04:58,13:20,17:15,21:00,22:58
4,03:04,04:59,13:20,17:15,21:00,22:58
5,03:06,05:00,13:20,17:15,20:59,22:57
6,03:07,05:00,13:21,17:15,20:59,22:56
7,03:09,05:01,13:21,17:15,20:58,22:55
8,03:10,05:02,13:21,17:15,20:58,22:53
9,03:12,05:03,13:21,17:15,20:57,22:52
10,03:13,05:04,13:21,17:14,20:56,22:51
11,03:15,05:05,13:21,17:14,20:56,22:50
12,03:17,05:06,13:21,17:14,20:55,22:48
13,03:18,05:07,13:21,17:14,20:54,22:47
14,03:20,05:08,13:21,17:14,20:53,22:46
15,03:22,05:09,13:22,17:13,20:53,22:44
16,03:24,05:10,13:22,17:13,20:52,22:43
17,03:25,05:11,13:22,17:13,20:51,22:41
18,03:27,05:12,13:22,17:13,20:50,22:39
19,03:29,05:13,13:22,17:13,20:49,22:38
20,03:31,05:14,13:22,17:12,20:48,22:36
21,03:33,05:16,13:22,17:12,20:46,22:34
22,03:35,05:17,13:22,17:11,20:45,22:32
23,03:37,05:18,13:22,17:11,20:44,22:31
24,03:39,05:19,13:22,17:11,20:43,22:29
25,03:41,05:20,13:22,17:10,20:42,22:27
26,03:43,05:22,13:22,17:10,20:40,22:25
27,03:45,05:23,13:22,17:09,20:39,22:23
28,03:47,05:24,13:22,17:09,20:38,22:21
29,03:49,05:25,13:22,17:08,20:37,22:19
30,03:51,05:27,13:22,17:08,20:35,22:17
31,03:53,05:28,13:22,17:07,20:34,22:15
